region	fold	horizon_idx	run_kind	run_name	seed	diffusion_modality	n_seeds_in_ensemble	n_samples_per_seed	n_total_generated_per_event	n_test	n_test_pos	n_test_neg	test_auc	test_auc_ci_lo	test_auc_ci_hi	test_acc	test_acc_ci_lo	test_acc_ci_hi	test_balanced_acc	val_auc	val_acc	preictal_test_auc	preictal_test_acc	preictal_mm_eeg_emg_test_auc	preictal_mm_eeg_emg_test_acc	preictal_mm_eeg_photo_test_auc	preictal_mm_eeg_photo_test_acc	preictal_mm_eeg_emg_photo_test_auc	preictal_mm_eeg_emg_photo_test_acc	target_test_auc	target_test_acc	best_score	best_select_by	val_holdout_mouse	run_dir
VPM	M710	3	single_ckpt	anchor_eeg__s3__h3	3	eeg	1	16	16	238	119	119	0.7503	0.6884	0.8089	0.6975	0.6387	0.7563	0.6975	0.7502	0.7000	0.7545	0.5420	0.3688	0.5000	0.6768	0.5000	0.6202	0.5126	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_3\anchor_eeg__s3__h3
VPM	M710	3	single_ckpt	anchor_eeg__s4__h3	4	eeg	1	16	16	238	119	119	0.7546	0.6950	0.8117	0.6891	0.6345	0.7479	0.6891	0.7878	0.6429	0.7545	0.5420	0.3688	0.5000	0.6768	0.5000	0.6202	0.5126	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_3\anchor_eeg__s4__h3
VPM	M710	3	ensemble	ensemble_5seed		eeg_emg_photo	5	16	80	238	119	119	0.7143	0.6487	0.7776	0.6176	0.5546	0.6765	0.6176	0.8237	0.7286	0.7545	0.5420	0.3688	0.5000	0.6768	0.5000	0.6202	0.5126	0.9234	0.7479			M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\ensembles\VPM\fold_M710\horizon_3\eeg_emg_photo
VPM	M710	3	single_ckpt	anchor_vpm__s0__h3	0	eeg_emg_photo	1	16	16	238	119	119	0.7169	0.6518	0.7786	0.6008	0.5420	0.6597	0.6008	0.7673	0.7571	0.7545	0.5420	0.3688	0.5000	0.6768	0.5000	0.6202	0.5126	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_3\anchor_vpm__s0__h3
VPM	M710	3	single_ckpt	anchor_vpm__s1__h3	1	eeg_emg_photo	1	16	16	238	119	119	0.7081	0.6430	0.7690	0.6429	0.5840	0.7017	0.6429	0.8106	0.6857	0.7545	0.5420	0.3688	0.5000	0.6768	0.5000	0.6202	0.5126	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_3\anchor_vpm__s1__h3
VPM	M710	3	single_ckpt	anchor_vpm__s2__h3	2	eeg_emg_photo	1	16	16	238	119	119	0.6782	0.6080	0.7458	0.5252	0.4622	0.5882	0.5252	0.7967	0.7000	0.7545	0.5420	0.3688	0.5000	0.6768	0.5000	0.6202	0.5126	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_3\anchor_vpm__s2__h3
VPM	M710	3	single_ckpt	anchor_vpm__s3__h3	3	eeg_emg_photo	1	16	16	238	119	119	0.6826	0.6184	0.7468	0.6218	0.5630	0.6891	0.6218	0.7788	0.6143	0.7545	0.5420	0.3688	0.5000	0.6768	0.5000	0.6202	0.5126	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_3\anchor_vpm__s3__h3
VPM	M710	3	single_ckpt	anchor_vpm__s4__h3	4	eeg_emg_photo	1	16	16	238	119	119	0.7070	0.6400	0.7693	0.6471	0.5840	0.7017	0.6471	0.8016	0.6571	0.7545	0.5420	0.3688	0.5000	0.6768	0.5000	0.6202	0.5126	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\diffusion\VPM\fold_M710\horizon_3\anchor_vpm__s4__h3
VPM	M710	4	ensemble	ensemble_5seed		eeg	5	16	80	238	119	119	0.7679	0.7066	0.8249	0.7185	0.6639	0.7773	0.7185	0.7845	0.6429	0.7494	0.7059	0.4290	0.5000	0.6972	0.5000	0.5477	0.5000	0.9234	0.7479			M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_allh\ensembles\VPM\fold_M710\horizon_4\eeg
VPM	M710	4	single_ckpt	anchor_eeg__s0__h4	0	eeg	1	16	16	238	119	119	0.7547	0.6930	0.8168	0.7101	0.6555	0.7689	0.7101	0.7706	0.6857	0.7494	0.7059	0.4290	0.5000	0.6972	0.5000	0.5477	0.5000	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_4\anchor_eeg__s0__h4
VPM	M710	4	single_ckpt	anchor_eeg__s1__h4	1	eeg	1	16	16	238	119	119	0.7341	0.6646	0.7986	0.7017	0.6471	0.7605	0.7017	0.7551	0.6714	0.7494	0.7059	0.4290	0.5000	0.6972	0.5000	0.5477	0.5000	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_4\anchor_eeg__s1__h4
VPM	M710	4	single_ckpt	anchor_eeg__s2__h4	2	eeg	1	16	16	238	119	119	0.7560	0.6952	0.8155	0.6723	0.6134	0.7269	0.6723	0.6196	0.5714	0.7494	0.7059	0.4290	0.5000	0.6972	0.5000	0.5477	0.5000	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_4\anchor_eeg__s2__h4
VPM	M710	4	single_ckpt	anchor_eeg__s3__h4	3	eeg	1	16	16	238	119	119	0.7573	0.6988	0.8153	0.7395	0.6890	0.7983	0.7395	0.7543	0.6714	0.7494	0.7059	0.4290	0.5000	0.6972	0.5000	0.5477	0.5000	0.9234	0.7479	nan	val_gen_auc_avg	M1079	${ORIGINAL_PROJECT}\outputs\v6_paper_VPM_M710_eeg_allh\diffusion\VPM\fold_M710\horizon_4\anchor_eeg__s3__h4
